Question_ID,number_of_steps_that_ignored_relevant_phrases,Total_number_of_steps,Ratio of ignored/total steps,Correctness,,
0,0,3,0,0,,
1,0,3,0,1,,
2,1,3,0.333333333333333,0,,
3,0,2,0,1,,
4,0,3,0,1,,
5,3,3,1,0,,
6,0,3,0,1,,
7,0,4,0,0,,
8,0,4,0,0,,
9,0,3,0,0,,
10,0,3,0,1,,
11,1,6,0.166666666666667,1,,
12,2,5,0.4,0,,
13,1,3,0.333333333333333,1,,
14,1,3,0.333333333333333,1,,
15,1,3,0.333333333333333,0,,
16,0,4,0,1,,
17,1,5,0.2,1,,
18,2,3,0.666666666666667,1,,
19,3,4,0.75,0,,
20,1,4,0.25,0,,
21,0,9,0,0,,
22,1,1,1,0,,
23,0,3,0,1,,
24,1,2,0.5,1,,
25,5,9,0.555555555555556,1,,
26,1,4,0.25,1,,
27,1,3,0.333333333333333,1,,
28,1,3,0.333333333333333,0,,
29,0,3,0,1,,
30,0,7,0,0,,
31,1,5,0.2,1,,
32,1,2,0.5,0,,
33,0,3,0,1,,
34,1,4,0.25,1,,
35,0,3,0,0,,
36,0,3,0,0,,
37,0,3,0,1,,
38,1,3,0.333333333333333,1,,
39,0,2,0,0,,
40,1,4,0.25,1,,
41,1,1,1,0,,
42,2,2,1,1,,
43,0,3,0,0,,
44,1,3,0.333333333333333,1,,
45,2,4,0.5,1,,
46,2,5,0.4,0,,
47,1,4,0.25,0,,
48,1,2,0.5,1,,
49,1,3,0.333333333333333,1,,
50,0,6,0,1,,
